 Mekahlia  J,    15 ,  English  Phonics  English Language & Literature  Conversational Language ,  112.56 km,   Tutor ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1625748866/xqphzfno0phrbxtbqex3.png
 Hakim M,    9 ,  French  French Language & Literature ,  114.23 km,   Freelance French tutor  ,  ../../../../assets/globe.png
 Laura W,    30 ,  French ,  274.21 km,   French Tutor ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1632740710/y0wk7vjkxdmrwqlyoatj.jpg
 Julie H,    20 ,  Biology  Chemistry  Physics  Geology  French  English  Spanish ,  274.21 km,   Science & IB Tutor  ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1587491393/ut5fpqxcjk7cchjnaare.jpg
 Paul L,    60 ,  Green Living  Environmental Systems and Societies  Green Cooking  Environmental Science ,  324.87 km,   Green Lifestyle Coach & Eco-Tutor  ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1589612572/epabpxuuq3fdo0zk1h0l.jpg
 Valery V,    20 ,  Spanish  Humanities  Science  IB DP Assessments  Environmental Systems and Societies  Business Management ,  328.70 km,  Null,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1621285909/qlidixrpqh7oksz14pgr.jpg
 Victor M,    50 ,  Psychology  Extended Essay  IB DP Assessments ,  328.70 km,   Psychologist & IB Tutor ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1587401732/h7vrbqlvseifopqytet4.jpg
 Natasha B,    30 ,  Math  Science  IGCSE/GCE/GCSE  Algebra  AS & A- Level Maths  Calculus  Statistics  Trigonometry  Verbal Reasoning  Non-Verbal Reasoning  Geometry  Chemistry  Biology  Physics ,  385.08 km,   Experienced Maths and Science Tutor ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1631647698/iiz3pxyrtiq9hpugvtye.jpg
 Natasha M,    25 ,  Phonics  Fitness  Meditation ,  423.16 km,   Yoga and Mindfulness Teacher, ICF Life Coach ,  ../../../../assets/globe.png
 Christine V,    20 ,  Creativity, Arts, & Crafts  Play Based Learning  Literacy, Mathematics & Symbolic Learning in the Early Years  Phonics  Theatrical Play Based Learning  English ,  481.39 km,   Nanny & Special Needs Caregiver ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1589560691/yz7ej1p2dokaittsbojc.jpg
 David S,    40 ,  English  Spanish  IB DP Assessments  IGCSE/GCE/GCSE  Theory of Knowledge  Extended Essay  English Language & Literature  Global Politics  Philosophy  MUN  Human Rights  Drama  IB Literature and Performance  Debate  Writing  Essay Writing  Photography ,  504.42 km,   IB TOK & Philosophy Tutor ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1613483562/e5kbvl9ilz10vrri6cyq.jpg
 Justin B,    100 ,  Hard Skills  Soft Skills  Business Management  Project Manager  Marketing  Business Statistics  Communications ,  640.61 km,   Career Development Specialist ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1589562169/imb5refsdf46z3es1oyo.jpg
 Mariachiara R,    20 ,  English  Italian  German  Play Based Learning  Phonics  Creativity, Arts, & Crafts  IELTS  English Language & Literature  German Language & Literature  Italian Language & Literature  Business English ,  657.99 km,   English and Italian tutor ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1630681934/klvpzlflftze87n2dwnx.jpg
 Lilou-Ornella D,    20 ,  IB DP Assessments  IB MYP Assessments  Extended Essay  CAS  Italian Language & Literature ,  685.31 km,   Student ,  ../../../../assets/globe.png
 Erika M,    10 ,  English  French  Spanish  Italian  Art  French Language & Literature  Italian Language & Literature  Spanish Language & Literature  Geography  Law  Sociology  Writing  Presentations  Conversational Language  Marketing  Economics ,  691.08 km,   Tutor di ripetizioni e aiuto compiti ,  ../../../../assets/globe.png
 Giovanna R,    25 ,  Italian  Italian Language & Literature ,  693.48 km,   Italian teacher ,  ../../../../assets/globe.png
 Marzia D,    8 ,  Italian  Humanities  Italian Language & Literature  Writing ,  694.08 km,   Student and Italian tutor ,  ../../../../assets/globe.png
 Tutor A,    1 ,  English ,  695.98 km,   Tutor Around Managing Director ,  ../../../../assets/globe.png
 Petra H,    12 ,  English  Childcare  Creativity, Arts, & Crafts  Literacy, Mathematics & Symbolic Learning in the Early Years  Play Based Learning  Phonics  Dance  Communications  Writing  Conversational Language  Essay Writing  Creative Writing  Presentations  Soft Skills  Cooking Classes  Sports ,  696.34 km,   English Teacher in Milan & online ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1631715475/han87kyoroanw0uxzdee.png
 Gabriela R,    10 ,  Spanish  Italian  English  Portuguese  Childcare  Play Based Learning  Time Management  Conversational Language  Sports  Meditation  Walking Tours  Tours  Local Food & Traditional Cooking ,  696.68 km,   Aupair and English, Spanish tutor  ,  https://res.cloudinary.com/du0yhtm0w/image/upload/v1631642007/wn7kqcqkqkx4eicmoatw.jpg
